id,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,Other_Faults,defect_type
14513,1021,1034,657468,657502,129,14,26,12417,91,134,1690,1,0,150,0.6777,0.2857,0.5454,0.0037,0.3571,1.0,1.0,2.1106,0.699,1.3424,0.4545,-0.1197,0.3663,0,0,0,0,0,0,1,Other_Faults
11790,7,19,2197352,2197376,126,13,24,14907,168,198,1387,0,1,40,0.0302,0.4271,0.3333,0.0058,0.6154,1.0,1.0,2.1004,0.9031,1.3802,0.6667,0.4208,0.3241,0,0,1,0,0,0,0,K_Scatch
10478,861,873,12987661,12987692,61,15,11,6593,101,134,1650,1,0,69,0.8796,0.2619,0.5294,0.01,0.9444,1.0,0.0,1.7853,1.2305,1.0414,-0.4706,-0.1063,0.2432,0,0,0,0,0,1,0,Bumps
11047,1271,1285,1723382,1723392,229,35,23,24230,67,125,1360,1,0,40,0.1252,0.3962,0.5714,0.0089,0.4286,1.0,1.0,2.3598,1.0792,1.3617,0.4286,-0.2939,0.5362,0,1,0,0,0,0,0,Z_Scratch
3352,1068,1084,1825287,1825355,101,18,12,10160,78,118,1362,0,1,40,0.5926,0.3175,0.75,0.0081,0.6667,1.0,1.0,2.0043,1.0414,1.0792,0.25,-0.1803,0.2901,0,0,0,0,0,0,1,Other_Faults
6467,861,871,2023127,2023150,88,16,15,8063,71,126,1692,1,0,70,0.7232,0.3222,0.76,0.0071,0.75,0.9375,0.0,1.9445,1.0792,1.1761,-0.24,-0.2223,0.2288,0,0,0,0,0,0,1,Other_Faults
16130,936,942,564536,564621,41,19,9,4538,125,143,1360,0,1,40,0.6162,0.4444,0.4545,0.0037,0.9474,0.6667,0.0,1.6128,1.1139,0.7782,-0.5454,0.0281,0.1715,0,0,0,0,0,0,1,Other_Faults
3288,1505,1525,830518,830524,170,33,22,20714,112,141,1692,0,1,300,0.2118,0.6756,0.4444,0.013,0.6364,0.6956,0.0,2.2304,1.3424,1.2553,-0.5556,-0.0615,0.5362,0,0,0,0,0,0,1,Other_Faults
14785,563,568,3149617,3149629,60,9,10,6243,96,134,1692,1,0,60,0.6701,0.2031,0.8,0.0047,0.8889,1.0,1.0,1.7781,0.9031,1.0,0.2,-0.1182,0.1773,0,0,0,0,0,1,0,Bumps
16730,1111,1116,1003575,1003594,419,12,27,7164,161,183,1353,0,1,200,0.6637,0.3416,0.4,0.0059,0.6667,0.9231,1.0,2.6222,0.9031,1.3979,0.6,0.3385,0.9,0,0,0,0,0,0,1,Other_Faults
18884,1163,1172,1539081,1539097,52,15,6,6999,127,141,1358,0,1,50,0.3575,0.4167,0.6667,0.011,1.0,0.6667,0.0,1.716,1.1761,0.6021,-0.3333,0.0358,0.2018,0,0,0,1,0,0,0,Stains
13553,39,212,441418,441483,6210,295,138,645839,45,124,1358,0,1,40,0.0574,0.4727,0.5,0.1259,0.6056,0.4097,0.0,3.7979,2.233,1.8261,-0.5,-0.1834,1.0,0,0,1,0,0,0,0,K_Scatch
6985,1326,1344,2833467,2833484,110,30,15,12624,110,127,1362,0,1,40,0.0325,0.5667,0.4667,0.0111,0.6,0.8333,0.0,2.0414,1.1761,1.1761,-0.5333,-0.0651,0.3509,0,0,0,0,0,0,1,Other_Faults
574,993,1004,735612,735624,56,12,8,7114,84,118,1698,1,0,85,0.8485,0.2045,0.7273,0.0065,0.9167,1.0,0.0,1.7482,1.0414,0.9031,-0.2727,-0.1998,0.1934,0,0,0,0,0,0,1,Other_Faults
