check,value
total_rows,19219
total_columns,35
missing_cells,0
duplicate_rows,0
duplicate_ids,0
infinite_values,0
invalid_target_binary_values,0
invalid_feature_binary_values,0
single_label_rows,18380
zero_label_rows,818
multi_label_rows,21
max_labels_per_row,2
steel_exactly_one_type,19198
steel_no_type,20
steel_multiple_types,1
negative_Pixels_Areas,0
negative_X_Perimeter,0
negative_Y_Perimeter,0
negative_Length_of_Conveyer,0
negative_Steel_Plate_Thickness,0
x_min_greater_than_x_max,48
y_min_greater_than_y_max,690
modeling_rows,18380
excluded_from_modeling,839
