,Pixels_Areas,X_Perimeter,Y_Perimeter,Steel_Plate_Thickness,Luminosity_Index,Edges_Index,Empty_Index,Square_Index,LogOfAreas,SigmoidOfAreas
Pixels_Areas,1.0,0.8330083799009269,0.8328539163470682,-0.2359728263741974,-0.012562606174897774,-0.3405838764805022,0.2724099953822506,0.021922415423777417,0.774744670742515,0.5470642497570285
X_Perimeter,0.8330083799009269,1.0,0.9112935648602906,-0.22900934190531716,0.007792400837632037,-0.3302940650525271,0.32490459380793313,0.04862070419732837,0.7715484201854953,0.5645328763543961
Y_Perimeter,0.8328539163470682,0.9112935648602906,1.0,-0.19223654017499542,-0.001926117674054497,-0.3252314375690833,0.3404761579095135,0.0036626202022364716,0.7905034626205085,0.6103435099841877
Steel_Plate_Thickness,-0.2359728263741974,-0.22900934190531716,-0.19223654017499542,1.0,-0.10101493762915936,0.09157685262263904,-0.0622500434526762,-0.04953377408840891,-0.20605236060583473,-0.1288444887052474
Luminosity_Index,-0.012562606174897774,0.007792400837632037,-0.001926117674054497,-0.10101493762915936,1.0,0.21282236459206577,0.08603555389181822,0.08518246329679274,-0.12993962980208917,-0.11406523693023395
Edges_Index,-0.3405838764805022,-0.3302940650525271,-0.3252314375690833,0.09157685262263904,0.21282236459206577,1.0,-0.1800463896094393,0.12678785677382073,-0.4269913058219822,-0.359954653835166
Empty_Index,0.2724099953822506,0.32490459380793313,0.3404761579095135,-0.0622500434526762,0.08603555389181822,-0.1800463896094393,1.0,-0.1254461104288033,0.3825144989942324,0.48168850669272306
Square_Index,0.021922415423777417,0.04862070419732837,0.0036626202022364716,-0.04953377408840891,0.08518246329679274,0.12678785677382073,-0.1254461104288033,1.0,-0.23864445143765037,-0.3644188901989701
LogOfAreas,0.774744670742515,0.7715484201854953,0.7905034626205085,-0.20605236060583473,-0.12993962980208917,-0.4269913058219822,0.3825144989942324,-0.23864445143765037,1.0,0.8745417035449481
SigmoidOfAreas,0.5470642497570285,0.5645328763543961,0.6103435099841877,-0.1288444887052474,-0.11406523693023395,-0.359954653835166,0.48168850669272306,-0.3644188901989701,0.8745417035449481,1.0
