feature,skewness,absolute_skewness
Pixels_Areas,7.053802810683508,7.053802810683508
Sum_of_Luminosity,6.760820552325883,6.760820552325883
X_Perimeter,6.41046865996878,6.41046865996878
Outside_X_Index,3.09845288165758,3.09845288165758
Y_Perimeter,2.967201164702586,2.967201164702586
Y_Minimum,2.578222195963695,2.578222195963695
Y_Maximum,2.569683404446682,2.569683404446682
Steel_Plate_Thickness,2.371995454947027,2.371995454947027
Maximum_of_Luminosity,1.1602921536877404,1.1602921536877404
Log_X_Index,1.0860089595605147,1.0860089595605147
Edges_Y_Index,-0.9777575757887551,0.9777575757887551
Length_of_Conveyer,0.8478824483846047,0.8478824483846047
LogOfAreas,0.8473293255364522,0.8473293255364522
Luminosity_Index,0.7453239881589064,0.7453239881589064
Edges_Index,0.5523789511632031,0.5523789511632031
Log_Y_Index,0.39024049397913585,0.39024049397913585
TypeOfSteel_A300,0.3861392476344267,0.3861392476344267
TypeOfSteel_A400,-0.3820029659265696,0.3820029659265696
Outside_Global_Index,-0.36535816241125196,0.36535816241125196
Minimum_of_Luminosity,-0.34239956099466945,0.34239956099466945
Edges_X_Index,-0.25332709215537763,0.25332709215537763
SigmoidOfAreas,0.22545688890044105,0.22545688890044105
Empty_Index,0.20014959156863835,0.20014959156863835
Orientation_Index,-0.1822359323479504,0.1822359323479504
X_Maximum,0.0786462134284206,0.0786462134284206
X_Minimum,0.022134326254429248,0.022134326254429248
Square_Index,0.010746653979174214,0.010746653979174214
