feature,mean_abs_shap,rank,importance_share
Steel_Plate_Thickness,0.57415825,1,0.14505723
Length_of_Conveyer,0.3306029,2,0.083524615
Orientation_Index,0.1971452,3,0.049807414
Pixels_Areas,0.18451393,4,0.046616208
Edges_Y_Index,0.17797121,5,0.044963237
Minimum_of_Luminosity,0.17740995,6,0.044821434
Luminosity_Index,0.176544,7,0.04460266
Outside_X_Index,0.16739348,8,0.04229084
LogOfAreas,0.15183486,9,0.03836006
Log_X_Index,0.14746065,10,0.03725495
Log_Y_Index,0.14697719,11,0.037132803
Edges_Index,0.12999706,12,0.032842886
TypeOfSteel_A300,0.12701528,13,0.032089557
Empty_Index,0.12513345,14,0.03161413
Y_Perimeter,0.123942435,15,0.031313226
Sum_of_Luminosity,0.117396474,16,0.029659433
X_Maximum,0.1169064,17,0.029535618
X_Minimum,0.10299904,18,0.026022017
Square_Index,0.10021718,19,0.025319198
SigmoidOfAreas,0.09878127,20,0.024956428
TypeOfSteel_A400,0.08703567,21,0.021988979
X_Perimeter,0.084762745,22,0.02141474
Edges_X_Index,0.07665788,23,0.019367099
Maximum_of_Luminosity,0.07156404,24,0.018080175
Y_Minimum,0.058375828,25,0.014748262
Y_Maximum,0.05720923,26,0.014453529
Outside_Global_Index,0.04814397,27,0.012163252
