class,feature,mean_abs_shap,rank
Bumps,Log_Y_Index,0.26470545,1
Bumps,TypeOfSteel_A300,0.19327268,2
Bumps,Length_of_Conveyer,0.15741818,3
Bumps,Minimum_of_Luminosity,0.1509155,4
Bumps,Steel_Plate_Thickness,0.13676423,5
Bumps,Pixels_Areas,0.13661931,6
Bumps,Y_Perimeter,0.1167072,7
Bumps,Empty_Index,0.112078145,8
Bumps,X_Minimum,0.11165151,9
Bumps,Square_Index,0.111500286,10
Bumps,TypeOfSteel_A400,0.107273005,11
Bumps,Edges_Index,0.10008839,12
Bumps,Outside_X_Index,0.09823358,13
Bumps,Orientation_Index,0.092850104,14
Bumps,LogOfAreas,0.077241875,15
Bumps,X_Maximum,0.0726648,16
Bumps,Luminosity_Index,0.06441461,17
Bumps,Edges_Y_Index,0.059112802,18
Bumps,Log_X_Index,0.057317562,19
Bumps,SigmoidOfAreas,0.05648216,20
Bumps,Edges_X_Index,0.05470071,21
Bumps,Sum_of_Luminosity,0.05452562,22
Bumps,Y_Maximum,0.039852455,23
Bumps,X_Perimeter,0.035971228,24
Bumps,Maximum_of_Luminosity,0.033194985,25
Bumps,Y_Minimum,0.031686187,26
Bumps,Outside_Global_Index,0.0036096966,27
Dirtiness,Minimum_of_Luminosity,0.36049315,1
Dirtiness,Orientation_Index,0.32313034,2
Dirtiness,Square_Index,0.29444277,3
Dirtiness,Steel_Plate_Thickness,0.26930338,4
Dirtiness,X_Perimeter,0.24832663,5
Dirtiness,X_Maximum,0.23205927,6
Dirtiness,Luminosity_Index,0.20203349,7
Dirtiness,Edges_Index,0.17035684,8
Dirtiness,Log_X_Index,0.16615492,9
Dirtiness,X_Minimum,0.15927161,10
Dirtiness,Length_of_Conveyer,0.14935103,11
Dirtiness,Outside_X_Index,0.14257784,12
Dirtiness,Sum_of_Luminosity,0.13617547,13
Dirtiness,Empty_Index,0.12855671,14
Dirtiness,Edges_X_Index,0.10943979,15
Dirtiness,TypeOfSteel_A400,0.101507284,16
Dirtiness,SigmoidOfAreas,0.09485985,17
Dirtiness,Pixels_Areas,0.09149621,18
Dirtiness,Edges_Y_Index,0.08984084,19
Dirtiness,Y_Maximum,0.08610467,20
Dirtiness,Y_Minimum,0.08428143,21
Dirtiness,Outside_Global_Index,0.075743884,22
Dirtiness,Maximum_of_Luminosity,0.07329539,23
Dirtiness,Y_Perimeter,0.06365538,24
Dirtiness,Log_Y_Index,0.059414536,25
Dirtiness,LogOfAreas,0.058351137,26
Dirtiness,TypeOfSteel_A300,0.056173407,27
K_Scatch,Steel_Plate_Thickness,1.289406,1
K_Scatch,Log_X_Index,0.52165097,2
K_Scatch,Outside_X_Index,0.35842156,3
K_Scatch,Minimum_of_Luminosity,0.27382764,4
K_Scatch,TypeOfSteel_A300,0.23709154,5
K_Scatch,Edges_Y_Index,0.23310684,6
K_Scatch,Length_of_Conveyer,0.22056648,7
K_Scatch,TypeOfSteel_A400,0.21169956,8
K_Scatch,Pixels_Areas,0.15519145,9
K_Scatch,Edges_Index,0.14420123,10
K_Scatch,X_Minimum,0.124083035,11
K_Scatch,LogOfAreas,0.116555355,12
K_Scatch,Maximum_of_Luminosity,0.10710018,13
K_Scatch,X_Maximum,0.10239822,14
K_Scatch,X_Perimeter,0.09871603,15
K_Scatch,Luminosity_Index,0.095244974,16
K_Scatch,Log_Y_Index,0.091332555,17
K_Scatch,Empty_Index,0.085847944,18
K_Scatch,Edges_X_Index,0.07487062,19
K_Scatch,Sum_of_Luminosity,0.06967691,20
K_Scatch,Orientation_Index,0.0674188,21
K_Scatch,Y_Perimeter,0.066995256,22
K_Scatch,Y_Maximum,0.06179227,23
K_Scatch,Y_Minimum,0.060936287,24
K_Scatch,Square_Index,0.057337277,25
