class,feature,mean_abs_shap,rank
Bumps,Log_Y_Index,0.26470545,1
Bumps,TypeOfSteel_A300,0.19327268,2
Bumps,Length_of_Conveyer,0.15741818,3
Bumps,Minimum_of_Luminosity,0.1509155,4
Bumps,Steel_Plate_Thickness,0.13676423,5
Dirtiness,Minimum_of_Luminosity,0.36049315,1
Dirtiness,Orientation_Index,0.32313034,2
Dirtiness,Square_Index,0.29444277,3
Dirtiness,Steel_Plate_Thickness,0.26930338,4
Dirtiness,X_Perimeter,0.24832663,5
K_Scatch,Steel_Plate_Thickness,1.289406,1
K_Scatch,Log_X_Index,0.52165097,2
K_Scatch,Outside_X_Index,0.35842156,3
K_Scatch,Minimum_of_Luminosity,0.27382764,4
K_Scatch,TypeOfSteel_A300,0.23709154,5
Other_Faults,Length_of_Conveyer,0.1846651,1
Other_Faults,Steel_Plate_Thickness,0.15110564,2
Other_Faults,Edges_Y_Index,0.09470441,3
Other_Faults,Orientation_Index,0.07767346,4
Other_Faults,Edges_Index,0.065713465,5
Pastry,Edges_Y_Index,0.6349013,1
Pastry,Orientation_Index,0.56585574,2
Pastry,Outside_X_Index,0.31615338,3
Pastry,Length_of_Conveyer,0.30000803,4
Pastry,Outside_Global_Index,0.20516346,5
Stains,Steel_Plate_Thickness,1.0711393,1
Stains,Pixels_Areas,0.7626878,2
Stains,LogOfAreas,0.67729086,3
Stains,Luminosity_Index,0.63402873,4
Stains,Y_Perimeter,0.4374657,5
Z_Scratch,Length_of_Conveyer,1.0776992,1
Z_Scratch,Steel_Plate_Thickness,1.035822,2
Z_Scratch,TypeOfSteel_A300,0.23668528,3
Z_Scratch,Empty_Index,0.21674417,4
Z_Scratch,X_Maximum,0.20068142,5
