column,dtype,missing_count,unique_count,min,max,mean,std
id,int64,0,19219,0.0,19218.0,9609.0,5548.191747467517
X_Minimum,int64,0,1191,0.0,1705.0,709.8546750611374,531.5441886942968
X_Maximum,int64,0,1259,4.0,1713.0,753.8576408762162,499.8366033621818
Y_Minimum,int64,0,3345,6712.0,12987661.0,1849756.0400124877,1903553.8506788213
Y_Maximum,int64,0,3341,6724.0,12987692.0,1846605.345439409,1896295.1379136646
Pixels_Areas,int64,0,1154,6.0,152655.0,1683.9876164212499,3730.319865304351
X_Perimeter,int64,0,460,2.0,7553.0,95.65466465476872,177.82138173788218
Y_Perimeter,int64,0,331,1.0,903.0,64.1240959467194,101.05417791632988
Sum_of_Luminosity,int64,0,2595,250.0,11591414.0,191846.67823507986,442024.6940571718
Minimum_of_Luminosity,int64,0,162,0.0,196.0,84.8084187522764,28.80034389379342
Maximum_of_Luminosity,int64,0,98,39.0,253.0,128.64738019668036,14.196976132755294
Length_of_Conveyer,int64,0,99,1227.0,1794.0,1459.350746656954,145.56868729654653
TypeOfSteel_A300,int64,0,2,0.0,1.0,0.40267443675529424,0.4904490294533847
TypeOfSteel_A400,int64,0,2,0.0,1.0,0.5963369582184297,0.4906441849203965
Steel_Plate_Thickness,int64,0,27,40.0,300.0,76.21312243092773,53.93196004615414
Edges_Index,float64,0,1849,0.0,0.9952,0.3529393620895988,0.318976034203382
Empty_Index,float64,0,1748,0.0,0.9275,0.40930947864092826,0.12414348919106638
Square_Index,float64,0,1118,0.0083,1.0,0.5745203944013737,0.25943587917881994
Outside_X_Index,float64,0,525,0.0015,0.6651,0.03060935532545918,0.047301941353806255
Edges_X_Index,float64,0,1102,0.0144,1.0,0.614749477079973,0.22239127304992665
Edges_Y_Index,float64,0,900,0.105,1.0,0.8316521000052032,0.22096602616466926
Outside_Global_Index,float64,0,4,-0.0,1.0,0.591898641968885,0.4820499800793943
LogOfAreas,float64,0,1072,0.7782,4.5543,2.4734746084603776,0.7605751353448149
Log_X_Index,float64,0,206,0.301,2.9973,1.312666767261564,0.46784765079174045
Log_Y_Index,float64,0,241,0.0,4.0333,1.3897366200114467,0.4055492951638949
Orientation_Index,float64,0,1598,-0.9884,0.9917,0.10274234455486758,0.48768051282026537
Luminosity_Index,float64,0,2046,-0.885,0.6421,-0.13838178625318695,0.12034400424934627
SigmoidOfAreas,float64,0,467,0.119,1.0,0.5719021902804515,0.33221862557099946
Pastry,int64,0,2,0.0,1.0,0.07627868255372287,0.26545039368742035
Z_Scratch,int64,0,2,0.0,1.0,0.059836620011447,0.23719006341560991
K_Scatch,int64,0,2,0.0,1.0,0.17857328685155316,0.38300457015005224
Stains,int64,0,2,0.0,1.0,0.029554087101305998,0.1693580096165976
Dirtiness,int64,0,2,0.0,1.0,0.025235444091784173,0.15684354124807165
Bumps,int64,0,2,0.0,1.0,0.24782767053436702,0.43176245316902195
Other_Faults,int64,0,2,0.0,1.0,0.3412248295957126,0.4741330426504408
