class,precision,recall,f1-score,support
Bumps,0.4883720930232558,0.5,0.49411764705882355,714.0
Dirtiness,0.6666666666666666,0.0273972602739726,0.05263157894736842,73.0
K_Scatch,0.8891013384321224,0.9099804305283757,0.8994197292069632,511.0
Other_Faults,0.4806265457543281,0.5942915392456677,0.5314494074749316,981.0
Pastry,0.44285714285714284,0.1409090909090909,0.21379310344827587,220.0
Stains,0.7692307692307693,0.7058823529411765,0.7361963190184049,85.0
Z_Scratch,0.5467625899280576,0.4393063583815029,0.48717948717948717,173.0
accuracy,0.5709104098657961,0.5709104098657961,0.5709104098657961,0.5709104098657961
macro avg,0.6119453065560488,0.4739667188971124,0.48782675319060786,2757.0
weighted avg,0.5733017342327975,0.5709104098657961,0.5554917217185567,2757.0
