class,precision,recall,f1-score,support
Bumps,0.5465465465465466,0.5098039215686274,0.527536231884058,714.0
Dirtiness,0.4444444444444444,0.1095890410958904,0.17582417582417584,73.0
K_Scatch,0.8935361216730038,0.9197651663405088,0.9064609450337512,511.0
Other_Faults,0.5015974440894568,0.6401630988786952,0.5624720107478728,981.0
Pastry,0.42424242424242425,0.12727272727272726,0.1958041958041958,220.0
Stains,0.7682926829268293,0.7411764705882353,0.7544910179640718,85.0
Z_Scratch,0.6190476190476191,0.5260115606936416,0.56875,173.0
accuracy,0.599202031193326,0.599202031193326,0.599202031193326,0.599202031193326
macro avg,0.5996724689957605,0.5105402837769037,0.5273340824654466,2757.0
weighted avg,0.5937889658986915,0.599202031193326,0.5839989225463045,2757.0
