class,precision,recall,f1-score,support
Bumps,0.5349500713266762,0.5252100840336135,0.5300353356890459,714.0
Dirtiness,0.46153846153846156,0.1643835616438356,0.24242424242424243,73.0
K_Scatch,0.9003831417624522,0.9197651663405088,0.9099709583736689,511.0
Other_Faults,0.5026132404181185,0.5881753312945973,0.5420385157350869,981.0
Pastry,0.3473684210526316,0.15,0.20952380952380953,220.0
Stains,0.7926829268292683,0.7647058823529411,0.7784431137724551,85.0
Z_Scratch,0.6174863387978142,0.653179190751445,0.6348314606741573,173.0
accuracy,0.5966630395357272,0.5966630395357272,0.5966630395357272,0.5966630395357272
macro avg,0.5938603716750604,0.537917030916706,0.5496096337417808,2757.0
weighted avg,0.5873885639950781,0.5966630395357272,0.5857692740321144,2757.0
