feature,importance
Log_X_Index,0.15729304
TypeOfSteel_A300,0.08659234
TypeOfSteel_A400,0.07830023
Outside_X_Index,0.06457448
Steel_Plate_Thickness,0.06260855
Pixels_Areas,0.05760411
LogOfAreas,0.05687555
Outside_Global_Index,0.03883555
Length_of_Conveyer,0.038466055
Orientation_Index,0.037666917
Edges_Y_Index,0.025969403
X_Perimeter,0.025562854
Log_Y_Index,0.021263601
Y_Perimeter,0.020491954
X_Maximum,0.02026949
Square_Index,0.020214003
Minimum_of_Luminosity,0.020108497
X_Minimum,0.018410465
Sum_of_Luminosity,0.01834479
Luminosity_Index,0.018188119
Edges_Index,0.017578967
SigmoidOfAreas,0.016784534
Empty_Index,0.016608102
Edges_X_Index,0.015956363
Maximum_of_Luminosity,0.015620696
Y_Maximum,0.015139485
Y_Minimum,0.014671969
