class,precision,recall,f1-score,support
Bumps,0.5283732660781841,0.5868347338935574,0.5560716655607166,714.0
Dirtiness,0.2796610169491525,0.4520547945205479,0.34554973821989526,73.0
K_Scatch,0.891588785046729,0.9334637964774951,0.9120458891013384,511.0
Other_Faults,0.5662251655629139,0.3486238532110092,0.43154574132492113,981.0
Pastry,0.2915451895043732,0.45454545454545453,0.3552397868561279,220.0
Stains,0.7142857142857143,0.8823529411764706,0.7894736842105263,85.0
Z_Scratch,0.5057915057915058,0.7572254335260116,0.6064814814814815,173.0
accuracy,0.5719985491476243,0.5719985491476243,0.5719985491476243,0.5719985491476243
macro avg,0.539638663316939,0.6307287153357924,0.5709154266792867,2757.0
weighted avg,0.5879937180632524,0.5719985491476243,0.5665003388587141,2757.0
