class,precision,recall,f1-score,support
Bumps,0.5312899106002554,0.5826330532212886,0.5557782231128925,714.0
Dirtiness,0.2828282828282828,0.3835616438356164,0.32558139534883723,73.0
K_Scatch,0.8893058161350844,0.9275929549902152,0.9080459770114943,511.0
Other_Faults,0.5465465465465466,0.37104994903160043,0.44201578627808136,981.0
Pastry,0.2691131498470948,0.4,0.3217550274223035,220.0
Stains,0.7211538461538461,0.8823529411764706,0.7936507936507936,85.0
Z_Scratch,0.5224489795918368,0.7398843930635838,0.6124401913875598,173.0
accuracy,0.5705476967718535,0.5705476967718535,0.5705476967718535,0.5705476967718535
macro avg,0.5375266473861353,0.6124392764741107,0.565609627744566,2757.0
weighted avg,0.5808746965473568,0.5705476967718535,0.5667104281313071,2757.0
